Date,High,Low,Open,Close,Volume,Adj Close,Name
2020-02-20,211.5800018310547,205.07000732421875,210.44000244140625,206.6699981689453,1527300,206.6699981689453,ADSK
2020-02-21,206.27000427246094,199.85000610351562,205.0,201.91000366210938,1774800,201.91000366210938,ADSK
2020-02-24,197.2899932861328,192.42999267578125,195.55999755859375,194.3699951171875,2104900,194.3699951171875,ADSK
2020-02-25,197.4199981689453,185.74000549316406,196.47000122070312,186.72999572753906,2282300,186.72999572753906,ADSK
2020-02-26,194.14999389648438,187.66000366210938,188.58999633789062,190.6699981689453,2850100,190.6699981689453,ADSK
2020-02-27,188.49000549316406,180.07000732421875,184.24000549316406,180.64999389648438,2688300,180.64999389648438,ADSK
2020-02-28,191.36000061035156,175.0500030517578,176.57000732421875,190.8800048828125,4340100,190.8800048828125,ADSK
2020-03-02,191.97000122070312,183.27000427246094,190.6699981689453,190.8300018310547,2698800,190.8300018310547,ADSK
2020-03-03,190.0,177.82000732421875,187.85000610351562,180.5500030517578,2756100,180.5500030517578,ADSK
2020-03-04,191.67999267578125,182.1300048828125,183.89999389648438,191.4199981689453,2242800,191.4199981689453,ADSK
2020-03-05,192.72999572753906,182.8300018310547,185.47000122070312,184.0399932861328,2328700,184.0399932861328,ADSK
2020-03-06,179.67999267578125,168.5500030517578,177.8300018310547,173.4199981689453,3272200,173.4199981689453,ADSK
2020-03-09,164.80999755859375,156.7100067138672,157.82000732421875,160.0500030517578,3108500,160.0500030517578,ADSK
2020-03-10,166.5,157.10000610351562,165.60000610351562,164.47999572753906,3439400,164.47999572753906,ADSK
2020-03-11,161.75,152.36000061035156,159.5500030517578,154.39999389648438,2789400,154.39999389648438,ADSK
2020-03-12,148.5,135.6999969482422,143.7899932861328,136.0,5014100,136.0,ADSK
2020-03-13,158.1699981689453,138.4499969482422,146.0,158.02999877929688,3998400,158.02999877929688,ADSK
2020-03-16,153.49000549316406,135.24000549316406,140.99000549316406,148.0800018310547,4100900,148.0800018310547,ADSK
2020-03-17,157.9499969482422,140.0500030517578,149.69000244140625,154.9199981689453,4110600,154.9199981689453,ADSK
2020-03-18,154.3800048828125,125.37999725341797,145.22000122070312,141.82000732421875,4762400,141.82000732421875,ADSK
2020-03-19,152.27000427246094,134.97999572753906,141.4499969482422,149.22999572753906,3749300,149.22999572753906,ADSK
2020-03-20,156.05999755859375,145.3800048828125,151.4600067138672,148.02000427246094,4515800,148.02000427246094,ADSK
2020-03-23,151.83999633789062,138.10000610351562,147.80999755859375,144.13999938964844,3309200,144.13999938964844,ADSK
2020-03-24,153.39999389648438,141.42999267578125,151.25,149.9600067138672,2691500,149.9600067138672,ADSK
2020-03-25,154.97000122070312,142.32000732421875,149.39999389648438,149.99000549316406,2497000,149.99000549316406,ADSK
2020-03-26,163.14999389648438,150.64999389648438,150.85000610351562,160.8800048828125,2752500,160.8800048828125,ADSK
2020-03-27,156.6199951171875,140.32000732421875,155.8300018310547,141.57000732421875,2929000,141.57000732421875,ADSK
2020-03-30,157.17999267578125,141.2899932861328,142.74000549316406,155.91000366210938,3378400,155.91000366210938,ADSK
2020-03-31,158.91000366210938,152.8300018310547,154.0,156.10000610351562,3678200,156.10000610351562,ADSK
2020-04-01,150.47000122070312,137.86000061035156,147.52999877929688,139.22000122070312,3185100,139.22000122070312,ADSK
2020-04-02,142.13999938964844,135.52000427246094,136.97000122070312,137.0500030517578,2729600,137.0500030517578,ADSK
2020-04-03,141.5399932861328,136.27999877929688,136.88999938964844,139.0,2214500,139.0,ADSK
2020-04-06,153.52000427246094,144.61000061035156,146.1199951171875,152.32000732421875,2732300,152.32000732421875,ADSK
2020-04-07,157.8000030517578,147.25999450683594,157.72999572753906,148.6999969482422,2098200,148.6999969482422,ADSK
2020-04-08,161.77999877929688,149.4600067138672,150.7899932861328,159.2100067138672,3142100,159.2100067138672,ADSK
2020-04-09,170.80999755859375,160.1699981689453,160.7100067138672,164.89999389648438,3705100,164.89999389648438,ADSK
2020-04-13,163.99000549316406,156.91000366210938,162.3699951171875,160.9199981689453,1896500,160.9199981689453,ADSK
2020-04-14,174.75999450683594,164.0,165.1699981689453,172.22000122070312,1917700,172.22000122070312,ADSK
2020-04-15,172.5399932861328,167.44000244140625,168.57000732421875,169.13999938964844,2014500,169.13999938964844,ADSK
2020-04-16,173.49000549316406,168.1199951171875,171.4600067138672,171.0,1847500,171.0,ADSK
2020-04-17,182.0,173.97000122070312,176.0800018310547,180.94000244140625,2357700,180.94000244140625,ADSK
2020-04-20,181.52000427246094,176.44000244140625,178.19000244140625,177.8699951171875,1192000,177.8699951171875,ADSK
2020-04-21,177.16000366210938,166.86000061035156,175.9600067138672,170.02000427246094,2331700,170.02000427246094,ADSK
2020-04-22,177.3300018310547,173.36000061035156,176.0500030517578,175.3699951171875,1013500,175.3699951171875,ADSK
2020-04-23,178.97999572753906,172.22000122070312,172.99000549316406,175.5500030517578,1582400,175.5500030517578,ADSK
2020-04-24,180.97000122070312,174.19000244140625,177.25999450683594,180.35000610351562,1150900,180.35000610351562,ADSK
2020-04-27,186.55999755859375,182.24000549316406,182.24000549316406,182.50999450683594,1684100,182.50999450683594,ADSK
2020-04-28,185.7899932861328,176.27000427246094,185.52999877929688,177.30999755859375,1829100,177.30999755859375,ADSK
2020-04-29,189.86000061035156,180.0,180.61000061035156,187.89999389648438,1559200,187.89999389648438,ADSK
2020-04-30,189.5500030517578,185.13999938964844,187.0,187.1300048828125,1940900,187.1300048828125,ADSK
2020-05-01,181.5399932861328,172.22000122070312,179.22000122070312,174.89999389648438,2061600,174.89999389648438,ADSK
2020-05-04,179.3300018310547,173.1300048828125,174.77999877929688,177.8000030517578,1153400,177.8000030517578,ADSK
2020-05-05,184.8699951171875,179.27999877929688,179.57000732421875,180.49000549316406,972800,180.49000549316406,ADSK
2020-05-06,185.0800018310547,179.66000366210938,182.22999572753906,181.22999572753906,1011800,181.22999572753906,ADSK
2020-05-07,186.4600067138672,180.80999755859375,182.92999267578125,184.0,1631900,184.0,ADSK
2020-05-08,187.16000366210938,183.25,186.0,184.2899932861328,1005400,184.2899932861328,ADSK
2020-05-11,186.13999938964844,182.9199981689453,183.13999938964844,184.39999389648438,1112100,184.39999389648438,ADSK
2020-05-12,187.1199951171875,180.97000122070312,184.3699951171875,180.97000122070312,1097300,180.97000122070312,ADSK
2020-05-13,182.67999267578125,173.8300018310547,180.60000610351562,176.86000061035156,1164800,176.86000061035156,ADSK
2020-05-14,177.97999572753906,170.57000732421875,174.52999877929688,177.8699951171875,1222700,177.8699951171875,ADSK
2020-05-15,181.1300048828125,175.44000244140625,176.49000549316406,180.72000122070312,1077900,180.72000122070312,ADSK
2020-05-18,190.80999755859375,183.0399932861328,183.83999633789062,190.10000610351562,1436800,190.10000610351562,ADSK
2020-05-19,198.89999389648438,190.1300048828125,190.1300048828125,194.7100067138672,1519100,194.7100067138672,ADSK
2020-05-20,199.58999633789062,194.32000732421875,197.97000122070312,196.63999938964844,1028900,196.63999938964844,ADSK
2020-05-21,197.5800018310547,193.64999389648438,196.0800018310547,194.75,1261100,194.75,ADSK
2020-05-22,196.89999389648438,192.50999450683594,194.02999877929688,195.77999877929688,1534600,195.77999877929688,ADSK
2020-05-26,203.8300018310547,198.6199951171875,199.32000732421875,199.52999877929688,1662400,199.52999877929688,ADSK
2020-05-27,199.82000732421875,192.50999450683594,198.64999389648438,199.80999755859375,2193000,199.80999755859375,ADSK
2020-05-28,208.3000030517578,194.60000610351562,196.3800048828125,202.6300048828125,3709300,202.6300048828125,ADSK
2020-05-29,210.7100067138672,200.33999633789062,203.60000610351562,210.3800048828125,2750800,210.3800048828125,ADSK
2020-06-01,221.50999450683594,209.05999755859375,210.0,219.2899932861328,2745600,219.2899932861328,ADSK
2020-06-02,221.0,212.11000061035156,218.92999267578125,219.08999633789062,2479900,219.08999633789062,ADSK
2020-06-03,227.38999938964844,219.1699981689453,220.75,226.38999938964844,2025100,226.38999938964844,ADSK
2020-06-04,227.3699951171875,223.2899932861328,225.0,225.1999969482422,2177500,225.1999969482422,ADSK
2020-06-05,234.5399932861328,223.0,224.6699981689453,233.7100067138672,1955900,233.7100067138672,ADSK
2020-06-08,236.47000122070312,230.4600067138672,231.13999938964844,233.50999450683594,2273400,233.50999450683594,ADSK
2020-06-09,237.8000030517578,231.4499969482422,232.49000549316406,234.14999389648438,1916300,234.14999389648438,ADSK
2020-06-10,240.25,233.4600067138672,235.58999633789062,236.58999633789062,1810500,236.58999633789062,ADSK
2020-06-11,233.47000122070312,218.9499969482422,233.0,219.10000610351562,2798400,219.10000610351562,ADSK
2020-06-12,228.1300048828125,218.9499969482422,227.9499969482422,222.9600067138672,1865100,222.9600067138672,ADSK
2020-06-15,229.75,218.75999450683594,218.9600067138672,229.0,1522400,229.0,ADSK
2020-06-16,241.77000427246094,234.0,234.9499969482422,240.92999267578125,2385700,240.92999267578125,ADSK
2020-06-17,243.75999450683594,236.4199981689453,242.2899932861328,237.0399932861328,1126200,237.0399932861328,ADSK
2020-06-18,239.1999969482422,236.0500030517578,237.9499969482422,238.07000732421875,1181200,238.07000732421875,ADSK
2020-06-19,242.97999572753906,235.49000549316406,242.11000061035156,237.82000732421875,2023800,237.82000732421875,ADSK
2020-06-22,241.1300048828125,236.0,236.0,240.8800048828125,1203700,240.8800048828125,ADSK
2020-06-23,247.13999938964844,241.4600067138672,242.91000366210938,241.6199951171875,1461700,241.6199951171875,ADSK
2020-06-24,242.6699981689453,231.44000244140625,240.2899932861328,233.44000244140625,1863700,233.44000244140625,ADSK
2020-06-25,234.80999755859375,228.3699951171875,233.5,234.47000122070312,1782500,234.47000122070312,ADSK
2020-06-26,236.7100067138672,230.66000366210938,234.92999267578125,232.74000549316406,1510200,232.74000549316406,ADSK
2020-06-29,233.92999267578125,227.75999450683594,232.52999877929688,232.1699981689453,930500,232.1699981689453,ADSK
2020-06-30,239.9499969482422,231.1999969482422,232.9499969482422,239.19000244140625,1602500,239.19000244140625,ADSK
2020-07-01,242.6699981689453,237.8000030517578,239.94000244140625,241.22000122070312,1275300,241.22000122070312,ADSK
2020-07-02,244.39999389648438,239.17999267578125,242.50999450683594,240.14999389648438,1158200,240.14999389648438,ADSK
2020-07-06,248.35000610351562,243.07000732421875,243.32000732421875,244.36000061035156,1092700,244.36000061035156,ADSK
2020-07-07,245.60000610351562,238.8000030517578,243.1199951171875,238.94000244140625,993500,238.94000244140625,ADSK
2020-07-08,244.0,239.4199981689453,241.63999938964844,243.89999389648438,960300,243.89999389648438,ADSK
2020-07-09,251.38999938964844,242.07000732421875,250.3000030517578,248.1999969482422,1594000,248.1999969482422,ADSK
2020-07-10,248.88999938964844,243.0,248.22000122070312,244.24000549316406,1142900,244.24000549316406,ADSK
2020-07-13,246.72999572753906,231.25999450683594,246.1699981689453,231.86000061035156,2030600,231.86000061035156,ADSK
2020-07-14,234.67999267578125,226.5500030517578,228.86000061035156,234.60000610351562,2459300,234.60000610351562,ADSK
2020-07-15,237.16000366210938,231.5,236.0,235.5800018310547,1112300,235.5800018310547,ADSK
2020-07-16,235.38999938964844,229.25,233.86000061035156,234.02999877929688,1029200,234.02999877929688,ADSK
2020-07-17,238.05999755859375,232.6699981689453,235.8000030517578,237.6999969482422,1102400,237.6999969482422,ADSK
2020-07-20,246.9600067138672,237.42999267578125,239.0500030517578,246.0399932861328,1050200,246.0399932861328,ADSK
2020-07-21,247.3000030517578,237.33999633789062,246.63999938964844,239.69000244140625,987800,239.69000244140625,ADSK
2020-07-22,243.91000366210938,239.05999755859375,241.39999389648438,240.74000549316406,515000,240.74000549316406,ADSK
2020-07-23,245.16000366210938,235.72999572753906,241.2899932861328,237.33999633789062,1176600,237.33999633789062,ADSK
2020-07-24,236.02999877929688,230.24000549316406,234.13999938964844,232.8800048828125,1007600,232.8800048828125,ADSK
2020-07-27,239.97000122070312,233.30999755859375,234.9600067138672,239.69000244140625,731100,239.69000244140625,ADSK
2020-07-28,240.60000610351562,234.13999938964844,238.52999877929688,234.5800018310547,623900,234.5800018310547,ADSK
2020-07-29,240.1199951171875,236.5800018310547,236.5800018310547,238.61000061035156,503000,238.61000061035156,ADSK
2020-07-30,237.64999389648438,231.4199981689453,235.2899932861328,236.10000610351562,712800,236.10000610351562,ADSK
2020-07-31,238.36000061035156,231.5,238.36000061035156,236.42999267578125,1144200,236.42999267578125,ADSK
2020-08-03,240.4600067138672,235.83999633789062,239.4199981689453,239.47999572753906,1269300,239.47999572753906,ADSK
2020-08-04,241.8699951171875,236.72999572753906,239.2899932861328,239.89999389648438,973700,239.89999389648438,ADSK
2020-08-05,246.36000061035156,235.24000549316406,240.07000732421875,243.1999969482422,1292700,243.1999969482422,ADSK
2020-08-06,244.5,239.24000549316406,243.63999938964844,243.57000732421875,735900,243.57000732421875,ADSK
2020-08-07,242.47000122070312,233.1999969482422,242.47000122070312,236.24000549316406,1042900,236.24000549316406,ADSK
2020-08-10,236.92999267578125,227.52000427246094,236.39999389648438,231.8800048828125,1307700,231.8800048828125,ADSK
2020-08-11,232.7899932861328,227.5500030517578,231.1699981689453,228.7899932861328,927500,228.7899932861328,ADSK
2020-08-12,233.8699951171875,229.3000030517578,229.3000030517578,231.57000732421875,905100,231.57000732421875,ADSK
2020-08-13,243.25,232.57000732421875,232.8800048828125,238.19000244140625,1200700,238.19000244140625,ADSK
2020-08-14,239.6300048828125,233.4600067138672,237.9199981689453,234.35000610351562,786200,234.35000610351562,ADSK
2020-08-17,239.35000610351562,235.64999389648438,236.3000030517578,239.0,919800,239.0,ADSK
2020-08-18,246.3300018310547,240.25999450683594,241.94000244140625,242.69000244140625,1482500,242.69000244140625,ADSK
2020-08-19,244.97999572753906,239.1699981689453,244.39999389648438,241.4199981689453,1250700,241.4199981689453,ADSK
2020-08-20,250.6199951171875,239.4499969482422,240.44000244140625,249.14999389648438,1080500,249.14999389648438,ADSK
2020-08-21,249.92999267578125,245.27000427246094,249.3300018310547,248.27000427246094,1088300,248.27000427246094,ADSK
2020-08-24,253.47000122070312,249.66000366210938,250.10000610351562,251.8000030517578,1227100,251.8000030517578,ADSK
2020-08-25,254.35000610351562,246.39999389648438,249.02000427246094,252.24000549316406,1555100,252.24000549316406,ADSK
2020-08-26,253.25999450683594,237.19000244140625,246.66000366210938,248.2100067138672,3075800,248.2100067138672,ADSK
2020-08-27,250.19000244140625,241.74000549316406,250.19000244140625,243.11000061035156,1137800,243.11000061035156,ADSK
2020-08-28,250.5,244.85000610351562,244.85000610351562,247.38999938964844,999000,247.38999938964844,ADSK
2020-08-31,247.97999572753906,242.5500030517578,246.3300018310547,245.6999969482422,1210700,245.6999969482422,ADSK
2020-09-01,253.6999969482422,244.6699981689453,247.99000549316406,253.50999450683594,1413400,253.50999450683594,ADSK
2020-09-02,261.94000244140625,254.14999389648438,255.47999572753906,261.3500061035156,2373900,261.3500061035156,ADSK
2020-09-03,256.80999755859375,239.22999572753906,256.80999755859375,242.08999633789062,2497700,242.08999633789062,ADSK
2020-09-04,244.44000244140625,228.17999267578125,240.52999877929688,233.8800048828125,2704600,233.8800048828125,ADSK
2020-09-08,230.19000244140625,223.9199981689453,224.16000366210938,224.36000061035156,1845600,224.36000061035156,ADSK
2020-09-09,234.97999572753906,225.58999633789062,227.61000061035156,232.77999877929688,2018100,232.77999877929688,ADSK
2020-09-10,239.00999450683594,226.9499969482422,234.0,228.1999969482422,2107100,228.1999969482422,ADSK
2020-09-11,231.3350067138672,227.22999572753906,228.17999267578125,229.27499389648438,286722,229.27499389648438,ADSK
